Time,Time Code,Country Name,Country Code,Population,GDP per capita,Population growth,Mortality rate,Life expectancy
2021,YR2021,Philippines,PHL,113880328,3460.53938169242,1.49455716704944,25.7,69.266
2021,YR2021,Australia,AUS,25685412,60697.2454358579,0.14089508329287,3.7,83.3
2021,YR2021,Austria,AUT,8955797,53517.8904509612,0.435671684056384,3.7,81.2390243902439
2021,YR2021,Greece,GRC,10569207,20310.6824798873,-1.21680248998544,3.7,80.1829268292683
2021,YR2021,Latvia,LVA,1884490,20930.3982374189,-0.843294678005026,3.7,73.2829268292683
2021,YR2021,Hungary,HUN,9709891,18753.0469453539,-0.413751024472153,4,74.4658536585366
2021,YR2021,Switzerland,CHE,8704546,93446.4344518943,0.765501039496593,3.8,83.8512195121951
2021,YR2021,Peru,PER,33715471,6635.46414809173,1.22566025209601,14.1,72.377
2021,YR2021,Uzbekistan,UZB,34915100,1993.42447787206,1.97570606573325,14.1,70.862
2021,YR2021,Brazil,BRA,214326223,7696.78483012849,0.528590452919416,14.4,72.75
2021,YR2021,Poland,POL,37747124,18050.2794441161,-0.401728616642455,4.3,75.6024390243903
2021,YR2021,Belgium,BEL,11586195,51850.3971840229,0.411601996532257,4.1,81.890243902439
2021,YR2021,Netherlands,NLD,17533044,58727.8705471475,0.523490508168757,4.1,81.4609756097561
2021,YR2021,Romania,ROU,19122059,14946.624968678,-0.746036478523061,6.4,72.9609756097561
2021,YR2021,United Arab Emirates,ARE,9365145,44332.3400513163,0.834812788038646,6.4,78.71
2021,YR2021,Kiribati,KIR,128874,1766.14428934624,1.88854075847608,48.2,67.417
2021,YR2021,Trinidad and Tobago,TTO,1525663,16056.3020409273,0.493855744994371,16.3,72.971
2021,YR2021,Tunisia,TUN,12262946,3807.18410896841,0.828863470070942,16.3,73.772
2021,YR2021,Kuwait,KWT,4250114,32324.8409043988,-2.5628080932518,8.7,78.673
2021,YR2021,Sierra Leone,SLE,8420641,504.621287621531,2.24176737112654,104.7,60.062
2021,YR2021,Tuvalu,TUV,11204,5372.76023865042,1.21224489943751,21.3,64.547
2021,YR2021,Canada,CAN,38226498,52515.1998350503,0.575421916470359,5,82.5966097560976
2021,YR2021,Cuba,CUB,11256372,..,-0.393012541562472,5,73.683
2021,YR2021,Malta,MLT,518536,34881.2912726609,0.619810315667809,5.8,82.8609756097561
2021,YR2021,Uruguay,URY,3426260,17923.9953327961,-0.0824466091158564,5.8,75.436
2021,YR2021,"Korea, Rep.",KOR,51744876,35142.264267481,-0.176408650734229,2.9,83.5268292682927
2021,YR2021,Monaco,MCO,36686,235132.784182144,-0.641236845621864,2.9,..
2021,YR2021,Ireland,IRL,5033164,102001.798249145,0.953878183519474,3.1,82.1024390243903
2021,YR2021,Portugal,PRT,10361831,24661.1664874576,0.626850165433157,3.1,81.0731707317073
2021,YR2021,Israel,ISR,9371400,52129.5159612108,1.68190551747412,3.4,82.5
2021,YR2021,Iceland,ISL,372520,68710.2442005473,1.6393166402584,2.6,83.1170731707317
2021,YR2021,Italy,ITA,59133173,36449.2583375837,-0.515599998844444,2.6,82.7951219512195
2021,YR2021,Togo,TGO,8644829,976.666183129642,2.36733896209991,62.6,61.619
2021,YR2021,Denmark,DNK,5856733,69268.6517983134,0.433414489409722,3.6,81.4048780487805
2021,YR2021,Germany,DEU,83196078,51426.7503654421,0.0423270572552137,3.6,80.9009756097561
2021,YR2021,"Korea, Dem. People's Rep.",PRK,25971909,..,0.402945210274924,15.4,73.284
2021,YR2021,Sao Tome and Principe,STP,223107,2350.45270097134,2.02203616729568,15.4,67.591
2021,YR2021,Andorra,AND,79034,42072.3194231234,1.70228822534561,2.8,..
2021,YR2021,Cyprus,CYP,1244188,32745.84375,0.535999429698235,2.8,81.203
2021,YR2021,Czechia,CZE,10505772,26822.5141862111,-1.81187141002542,2.8,77.3731707317073
2021,YR2021,Morocco,MAR,37076584,3767.52490234375,1.05148431222073,18,74.042
2021,YR2021,Serbia,SRB,6834326,9232.96160604855,-0.943688169512831,5.5,72.7307317073171
2021,YR2021,British Virgin Islands,VGB,31122,..,0.683520845329328,10.5,74.494
2021,YR2021,Saudi Arabia,SAU,35950396,24315.6185511873,-0.129847471045763,6.7,76.936
2021,YR2021,Sri Lanka,LKA,22156000,3996.57199501251,1.07544995696428,6.7,76.399
2021,YR2021,Timor-Leste,TLS,1320942,2741.95081994516,1.59847001383189,50.5,67.737
2021,YR2021,West Bank and Gaza,PSE,4922749,3678.63565662194,2.45703865277568,14.8,73.473
2021,YR2021,Turks and Caicos Islands,TCA,45114,23158.6378951102,1.87498501005673,4.5,74.587
2021,YR2021,"Micronesia, Fed. Sts.",FSM,113131,3588.75993317482,0.910158700223977,24.9,70.71
2021,YR2021,Belize,BLZ,400031,6060.96822340845,1.28562992065572,11.2,70.47
2021,YR2021,Solomon Islands,SLB,707851,2232.53695397683,2.3817422996453,18.8,70.348
2021,YR2021,Japan,JPN,125681593,40058.5373276179,-0.459952415807642,2.3,84.4456097560976
2021,YR2021,Montenegro,MNE,619211,9465.96153027794,-0.337762721786185,2.3,73.8243902439024
2021,YR2021,Chile,CHL,19493184,16240.6077759729,0.994344898418259,6.6,78.944
2021,YR2021,Belarus,BLR,9302585,7489.71894713888,-0.82823272086807,2.7,72.3706829268293
2021,YR2021,Luxembourg,LUX,640064,133711.794435985,1.51834936706612,2.7,82.7487804878049
2021,YR2021,Guinea,GIN,13531906,1189.17599945874,2.44431721949133,98.7,58.892
2021,YR2021,South Sudan,SSD,10748272,..,1.33037160015506,98.7,54.975
2021,YR2021,Suriname,SUR,612985,5026.87949279073,0.970459647008266,17.2,70.274
2021,YR2021,Kyrgyz Republic,KGZ,6773400,1365.50830399287,2.89836288600667,17.4,71.9
2021,YR2021,Ecuador,ECU,17797737,5965.13287054416,1.18206337539033,12.5,73.67
2021,YR2021,Argentina,ARG,45808747,10650.8604604345,0.947490959333989,6.9,75.39
2021,YR2021,Bahrain,BHR,1463265,26850.0033915702,-0.966024840061971,6.9,78.76
2021,YR2021,China,CHN,1412360000,12617.5051041181,0.0892522000412526,6.9,78.211
2021,YR2021,Kosovo,XKX,1786038,5269.78390114389,-0.229015994470004,10,76.806
2021,YR2021,Bosnia and Herzegovina,BIH,3270943,7230.19883771887,-1.44065259604193,5.6,75.3
2021,YR2021,Slovak Republic,SVK,5447247,21768.1486708026,-0.212358807611049,5.6,74.7146341463415
2021,YR2021,Panama,PAN,4351267,15491.2898013383,1.3156150150044,13.9,76.223
2021,YR2021,Seychelles,SYC,99258,12963.0589802139,0.805183391179401,13.9,73.3975609756097
2021,YR2021,Bulgaria,BGR,6877743,12219.3418706779,-0.814846471528947,6.3,71.5146341463415
2021,YR2021,Latin America & Caribbean,LCN,654980630,8478.6334058771,0.683382768901538,15.9,72.1474343340309
2021,YR2021,Armenia,ARM,2790974,4972.78320361917,-0.522963242641951,10.7,72.043
2021,YR2021,High income,HIC,1241268556,48535.4658244281,-0.0362679507636301,4.9,79.9239229936161
2021,YR2021,Iraq,IRQ,43533592,4770.83534274738,2.26888921028968,24.5,70.378
2021,YR2021,Sweden,SWE,10415811,61417.6808766469,0.600591532839468,2.5,83.1560975609756
2021,YR2021,United Kingdom,GBR,67026292,46869.759058411,-0.0819372405302065,4.2,80.7
2021,YR2021,France,FRA,67764304,43671.3084099631,0.285508618638434,4.4,82.3243902439024
2021,YR2021,Grenada,GRD,124610,9010.5127999358,0.762873605069601,16.2,74.936
2021,YR2021,Palau,PLW,18024,12921.8273205171,0.288921192202971,16.2,..
2021,YR2021,Russian Federation,RUS,144130482,12532.05078125,0.0397933936830454,5.1,69.3612195121951
2021,YR2021,Fiji,FJI,924610,4656.05134145,0.45397664568484,27.7,67.114
2021,YR2021,Guyana,GUY,804567,9994.64570422569,0.919614738982755,27.7,65.673
2021,YR2021,Barbados,BRB,281200,17507.4679943101,0.180461453548187,11.9,77.571
2021,YR2021,Algeria,DZA,44177969,3700.31469728198,1.65770320084269,22.3,76.377
2021,YR2021,Syrian Arab Republic,SYR,21324367,420.622705161108,2.62158395663386,22.3,72.063
2021,YR2021,Nicaragua,NIC,6850540,2064.92924633583,1.39120241997296,13.3,73.837
2021,YR2021,Madagascar,MDG,28915653,503.352081190858,2.41686937370051,66,64.485
2021,YR2021,Lebanon,LBN,5592631,4136.14657516013,-1.24903516691702,8.2,75.047
2021,YR2021,Ukraine,UKR,43822901,4827.845703125,-0.702971857967563,8.2,69.6478048780488
2021,YR2021,Jordan,JOR,11148278,4152.75795426388,1.98907685592122,14.6,74.256
2021,YR2021,St. Kitts and Nevis,KNA,47606,18035.3861402469,-0.0755921420171568,14.6,71.682
2021,YR2021,Indonesia,IDN,273753191,4334.2159826606,0.694717688319757,22.2,67.57
2021,YR2021,Azerbaijan,AZE,10137750,5408.04535175023,0.441197735816311,18.6,69.366
2021,YR2021,Finland,FIN,5541017,53504.6936483441,0.207288594407348,2.2,81.9341463414634
2021,YR2021,Norway,NOR,5408320,93072.8925119571,0.534772281874925,2.2,83.1634146341463
2021,YR2021,Slovenia,SVN,2108079,29331.0647010043,0.268851969969908,2.2,80.8756097560976
2021,YR2021,United States,USA,332031554,70219.472454115,0.156747054750178,6.2,76.3292682926829
2021,YR2021,Lithuania,LTU,2800839,23849.6156993566,0.212805429536827,3.3,74.3390243902439
2021,YR2021,Myanmar,MMR,53798084,1231.69466580785,0.699278204168444,41.8,65.672
2021,YR2021,Libya,LBY,6735277,5908.9513231651,1.21494764533037,10.8,71.911
2021,YR2021,El Salvador,SLV,6314167,4664.31122268385,0.340068122361035,12.4,70.748
2021,YR2021,Jamaica,JAM,2827695,5183.5810181201,0.257040921915097,12.4,70.5
2021,YR2021,North Macedonia,MKD,2065092,6778.56287821774,-0.359578821721077,5.3,74.5368292682927
2021,YR2021,Qatar,QAT,2688235,66858.7417226715,-2.64853183197257,5.3,79.272
2021,YR2021,Costa Rica,CRI,5153957,12604.0488374731,0.600406861056438,7.6,77.023
2021,YR2021,Malaysia,MYS,33573874,11134.6229528189,1.11985399101,7.6,74.884
2021,YR2021,Europe & Central Asia,ECS,923564027,27420.8134260688,0.131257937135615,7.6,76.6250531517707
2021,YR2021,Bangladesh,BGD,169356251,2457.92403936141,1.14931847631384,27.3,72.381
2021,YR2021,Albania,ALB,2811666,6377.20309553753,-0.926918061639398,9.5,76.463
2021,YR2021,Georgia,GEO,3708610,5023.27438368985,-0.379636607027231,9.5,71.694
2021,YR2021,Moldova,MDA,2595809,5274.74484719747,-1.50342952349937,14.2,68.846
2021,YR2021,St. Vincent and the Grenadines,VCT,104332,8360.0642393726,-0.287130994918257,13.7,69.629
2021,YR2021,Samoa,WSM,218764,3857.68974206459,1.76857821590665,16.7,72.767
2021,YR2021,Zambia,ZMB,19473125,1134.71345424991,2.84080597789489,57.7,61.223
2021,YR2021,New Zealand,NZL,5111400,49996.4206725811,0.415621677337565,4.7,82.2073170731707
2021,YR2021,Cabo Verde,CPV,587925,3398.16537614695,0.90298888332359,13.5,74.052
2021,YR2021,Turkiye,TUR,84147318,9743.21313092428,0.910444902564511,9,76.032
2021,YR2021,Colombia,COL,51516562,6182.70709867964,1.14382091580962,12.8,72.83
2021,YR2021,Tonga,TON,106017,4425.97149198516,0.722298202056167,11.1,70.986
2021,YR2021,Comoros,COM,821625,1577.47084066126,1.89944099480128,49.7,63.417
2021,YR2021,Singapore,SGP,5453566,77710.0892373091,-4.17033630017526,2.1,83.4414634146342
2021,YR2021,Antigua and Barbuda,ATG,93219,17178.5437160522,0.597151594527623,6.1,78.497
2021,YR2021,North America,NAC,370321816,68399.102745446,0.20002160762067,6.1,76.9767231711531
2021,YR2021,Thailand,THA,71601103,7060.89770696418,0.175345074912752,8.3,78.715
2021,YR2021,Honduras,HND,10278345,2771.72265387572,1.5351396675707,16.6,70.123
2021,YR2021,Mauritius,MUS,1266334,9068.98018051209,0.0252729878913446,16.6,73.680243902439
2021,YR2021,Kazakhstan,KAZ,19000988,10373.7897924367,1.29950843805955,10.3,70.23
2021,YR2021,"Egypt, Arab Rep.",EGY,109262178,3886.7224983901,1.65838367949689,19,70.221
2021,YR2021,Papua New Guinea,PNG,9949437,2624.60411021362,2.02856054038959,42.8,65.351
2021,YR2021,Bhutan,BTN,777486,3560.19770457687,0.642586172837449,26.7,71.815
2021,YR2021,"Venezuela, RB",VEN,28199867,..,-1.02517870784193,24.2,70.554
2021,YR2021,Ethiopia,ETH,120283026,925.00069759158,2.60431928274974,46.8,64.975
2021,YR2021,Malawi,MWI,19889742,633.609733179475,2.61141776637435,41.9,62.904
2021,YR2021,India,IND,1407563842,2238.12714218765,0.797216093898126,30.6,67.24
2021,YR2021,"Yemen, Rep.",YEM,32981641,543.637537619208,2.137789700681,61.9,63.753
2021,YR2021,"Iran, Islamic Rep.",IRN,87923432,4084.20030479458,0.722822505475776,12.6,73.875
2021,YR2021,Tajikistan,TJK,9750064,916.691967061922,2.14442565988658,31.4,71.594
2021,YR2021,Paraguay,PRY,6703799,5959.44179393627,1.27761600231743,18.2,70.262
2021,YR2021,Estonia,EST,1330932,27943.701219882,0.105996956310127,2,76.7414634146342
2021,YR2021,Maldives,MDV,521457,10076.3175303966,1.35517739152214,6,79.918
2021,YR2021,Guatemala,GTM,17109746,5029.47755484093,1.4803168061015,23,69.237
2021,YR2021,Zimbabwe,ZWE,15993524,1773.92041090285,2.0457148779533,49.5,59.253
2021,YR2021,Namibia,NAM,2530151,4919.18895548026,1.63585889002733,39,59.269
2021,YR2021,Brunei Darussalam,BRN,445373,31448.9127482937,0.822461681539278,11.5,74.642
2021,YR2021,Sudan,SDN,45657202,749.706787109375,2.70104593999388,54.9,65.267
2021,YR2021,Burkina Faso,BFA,22100683,888.781078836766,2.65037591522147,82.6,59.27
2021,YR2021,Mongolia,MNG,3347782,4566.14013029182,1.60937103615911,14.7,70.975
2021,YR2021,East Asia & Pacific,EAS,2370189840,13138.7246689239,0.264622663583694,14.7,76.3938984674492
2021,YR2021,Spain,ESP,47415794,30488.8209528797,0.105799194264084,3,83.1780487804878
2021,YR2021,Mozambique,MOZ,32077072,504.037787143107,2.84211234895462,69.6,59.325
2021,YR2021,Lower middle income,LMC,3157462375,2405.60357592672,1.29078302873535,43.7,66.9121239285529
2021,YR2021,"Gambia, The",GMB,2639916,772.151450503284,2.52879318000917,47.9,62.083
2021,YR2021,Lao PDR,LAO,7425057,2535.62343413571,1.43321406495938,42.5,68.061
2021,YR2021,Upper middle income,UMC,2776124854,10271.8014880384,0.37632294450367,11.8,74.6931575904076
2021,YR2021,"Bahamas, The",BHS,407906,28260.4325506367,0.352416997336031,13.2,71.598
2021,YR2021,Mexico,MEX,126705138,10359.1498625832,0.559420832085433,13.2,70.213
2021,YR2021,Rwanda,RWA,13461888,821.171394808138,2.3717515483557,39.4,66.072
2021,YR2021,Uganda,UGA,45853778,883.465728077878,3.211427903809,42.1,62.705
2021,YR2021,Oman,OMN,4520471,19509.4664633867,-0.5059218392323,10.1,72.541
2021,YR2021,Bolivia,BOL,12079472,3345.02300226194,1.19348671867883,24.7,63.63
2021,YR2021,Senegal,SEN,16876720,1633.56011890357,2.64538054494311,38.6,67.093
2021,YR2021,Croatia,HRV,3879000,17809.0323901126,-4.25664890192098,4.6,76.4243902439025
2021,YR2021,Afghanistan,AFG,40099462,355.777826392648,2.85135765449931,55.7,61.982
2021,YR2021,Angola,AGO,34503774,1927.47407832091,3.16602986153025,69.4,61.643
2021,YR2021,Benin,BEN,12996895,1360.91147421492,2.75970517933377,83.5,59.821
2021,YR2021,Botswana,BWA,2588423,7238.79609753108,1.6367427551677,34.9,61.141
2021,YR2021,Burundi,BDI,12551213,221.157803430781,2.67247846179476,52.6,61.663
2021,YR2021,Eswatini,SWZ,1192271,4068.57381550966,0.9790522575795,52.6,57.066
2021,YR2021,Cambodia,KHM,16589023,1625.23502147979,1.16513584860257,24.8,69.584
2021,YR2021,St. Lucia,LCA,179651,10916.2270797887,0.230712748065059,24.8,71.111
2021,YR2021,Cameroon,CMR,27198628,1654.25703730592,2.63581940586039,69.8,60.333
2021,YR2021,Central African Republic,CAF,5457154,461.137510956047,2.11363722558977,99.9,53.895
2021,YR2021,Chad,TCD,17179740,685.690315037547,3.16388750517031,107.1,52.525
2021,YR2021,"Congo, Dem. Rep.",COD,95894118,576.974729394136,3.22252815991252,79,59.193
2021,YR2021,"Congo, Rep.",COG,5835806,2540.47321153317,2.31648825280279,43,63.519
2021,YR2021,Cote d'Ivoire,CIV,27478249,2613.3788930684,2.455303010444,74.8,58.598
2021,YR2021,Djibouti,DJI,1105557,3062.55148207643,1.40284750995694,54.1,62.305
2021,YR2021,Dominica,DMA,72412,7668.15813216962,0.577535935346367,35.9,72.814
2021,YR2021,Dominican Republic,DOM,11117873,8476.74963892506,1.06892666709415,33,72.615
2021,YR2021,Equatorial Guinea,GNQ,1634466,7406.08497479348,2.37849451867221,76.8,60.594
2021,YR2021,Eritrea,ERI,3620312,..,1.7961013366299,38.1,66.536
2021,YR2021,World,WLD,7888305693,12316.1024614581,0.87082220635925,38.1,71.3268654207617
2021,YR2021,Gabon,GAB,2341179,8635.7971442819,2.09798810279019,39.7,65.821
2021,YR2021,Ghana,GHA,32833031,2422.08591285021,2.00774487031161,44,63.795
2021,YR2021,Guinea-Bissau,GNB,2060721,795.118605039186,2.20258924567144,74.3,59.652
2021,YR2021,Haiti,HTI,11447569,1823.74222445285,1.23729899666313,58.6,63.192
2021,YR2021,Kenya,KEN,53005614,2069.66112881918,1.94276128252757,37.2,61.427
2021,YR2021,Lesotho,LSO,2281454,1029.50618912869,1.2062178802275,72.9,53.062
2021,YR2021,Liberia,LBR,5193416,675.66318584916,2.05886078022756,76,60.747
2021,YR2021,Mali,MLI,21904983,881.510088733585,3.15796436945004,97.1,58.941
2021,YR2021,Marshall Islands,MHL,42050,6130.4371365469,-3.18995490050083,29.7,65.269
2021,YR2021,Mauritania,MRT,4614974,1998.39400265586,2.55391077109444,40.5,64.364
2021,YR2021,Nauru,NRU,12511,11632.6925020419,1.57902257627617,27.6,63.617
2021,YR2021,Nepal,NPL,30034989,1229.39420516246,2.31172371212952,27.2,68.45
2021,YR2021,Niger,NER,25252722,590.629494752737,3.70742378461307,115.2,61.576
2021,YR2021,Nigeria,NGA,213401323,2065.77441035114,2.40636338101405,110.8,52.676
2021,YR2021,Pakistan,PAK,231402117,1506.10829305917,1.83406208240793,63.3,66.098
2021,YR2021,San Marino,SMR,33745,54982.451714817,-0.773412758286969,1.7,..
2021,YR2021,Somalia,SOM,17065581,576.523678242108,3.14623658777376,111.8,55.28
2021,YR2021,South Africa,ZAF,59392255,7073.61275411821,0.998920418563044,32.8,62.341
2021,YR2021,Tanzania,TZA,63588334,1146.03198242188,3.00728723340751,47.1,66.201
2021,YR2021,Turkmenistan,TKM,6341855,7885.29989591824,1.45197711119455,41.4,69.264
2021,YR2021,Vanuatu,VUT,319137,3044.57364031957,2.3627415254938,23.2,70.449
2021,YR2021,Viet Nam,VNM,97468029,3756.48890080884,0.84418167703331,20.6,73.618
2021,YR2021,Africa Eastern and Southern,AFE,702977106,1545.61321503478,2.60747169409558,57.2847270993243,62.4545896453863
2021,YR2021,Africa Western and Central,AFW,478185907,1766.94361767929,2.57337740168795,94.3722350431445,56.9886567820139
2021,YR2021,Arab World,ARB,456520777,6419.16102913915,1.62333518723852,34.4545113311025,70.814483021063
2021,YR2021,Caribbean small states,CSS,7481877,10174.3840940633,0.498457440178115,16.5282037380229,70.9962586746615
2021,YR2021,Central Europe and the Baltics,CEB,101413176,18814.1458170436,-0.750584330862623,4.62235279569629,74.9320769722919
2021,YR2021,Early-demographic dividend,EAR,3411268373,3727.93383484374,1.0930839572306,31.9153269085937,68.4660405919992
2021,YR2021,East Asia & Pacific (excluding high income),EAP,2123628421,9813.00226050914,0.342553723704171,15.5339056879261,75.5432912976843
2021,YR2021,East Asia & Pacific (IDA & IBRD countries),TEA,2097669023,9922.04350030871,0.341803757784518,15.5361569714378,75.5711934120901