Rooms,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Propertycount
3,1602500.0,7.8,3.0,1.0,1.0,405.0,102.0,1930.0,-37.8448,145.071,8920.0
4,2950000.0,9.0,4.0,2.0,3.0,812.0,173.0,1927.0,-37.8323,145.0842,3265.0
3,1110000.0,13.0,3.0,1.0,2.0,692.0,164.0,1940.0,-37.9263,145.04,6795.0
3,780000.0,13.9,3.0,2.0,2.0,421.0,126.0,1950.0,-37.9168,145.0809,10969.0
4,1340000.0,5.9,3.0,2.0,2.0,683.0,232.0,1978.0,-37.775,144.93200000000004,6567.0
3,1337000.0,11.0,3.0,1.0,2.0,583.0,112.0,1950.0,-37.8685,145.0786,3052.0
3,1800000.0,3.3,3.0,2.0,1.0,132.0,159.0,1996.0,-37.8415,144.952,3280.0
2,636000.0,13.1,2.0,1.0,1.0,151.0,82.0,1970.0,-37.8234,145.1235,4605.0
4,2504000.0,10.7,4.0,2.0,2.0,674.0,183.0,1950.0,-37.9022,145.0125,6938.0
4,1670000.0,13.1,4.0,4.0,4.0,707.0,162.0,1926.0,-37.8166,145.1354,4605.0
2,645000.0,13.1,2.0,1.0,1.0,140.0,81.0,1965.0,-37.8271,145.1299,4605.0
2,735000.0,5.9,2.0,1.0,2.0,120.0,109.0,2004.0,-37.7659,144.9487,7082.0
5,2740000.0,7.8,4.0,2.0,2.0,643.0,363.0,2005.0,-37.8421,145.0719,8920.0
4,950000.0,5.9,4.0,2.0,1.0,298.0,147.0,1920.0,-37.7778,144.9131,6567.0
4,1880000.0,11.4,3.0,2.0,3.0,932.0,270.0,1970.0,-37.8975,145.0478,7822.0
2,580000.0,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,-37.8696,144.827,5301.0
2,1075000.0,12.2,2.0,1.0,2.0,695.0,114.0,1950.0,-37.8694,145.0944,2894.0
3,1266000.0,11.2,3.0,1.0,2.0,277.0,116.0,1950.0,-37.9268,144.991,10579.0
3,1338000.0,13.9,3.0,2.0,2.0,610.0,177.0,1970.0,-37.9231,145.066,10969.0
4,1670000.0,13.1,4.0,2.0,2.0,590.0,231.0,1924.0,-37.8274,145.1242,4605.0
4,1600000.0,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,-37.8072,144.9941,4019.0
2,967500.0,11.4,3.0,1.0,2.0,299.0,115.0,1930.0,-37.8973,145.053,7822.0
3,850000.0,10.5,3.0,1.0,1.0,593.0,118.0,1970.0,-37.7677,144.8674,4502.0
4,1325000.0,13.9,4.0,4.0,2.0,363.0,265.0,2012.0,-37.9116,145.0686,10969.0
3,1460000.0,9.3,3.0,1.0,2.0,451.0,121.0,1960.0,-37.8874,145.019,5051.0
4,2600000.0,7.8,3.0,2.0,2.0,600.0,232.0,1897.0,-37.8237,145.0638,8920.0
4,1247000.0,13.0,4.0,2.0,3.0,354.0,255.0,2008.0,-37.9326,145.0441,6795.0
3,970000.0,13.9,3.0,2.0,2.0,267.0,156.0,2000.0,-37.9176,145.0566,10969.0
4,1433500.0,13.9,4.0,1.0,1.0,725.0,186.0,1950.0,-37.9289,145.0502,10969.0
2,550000.0,8.9,2.0,1.0,1.0,806.0,78.0,1960.0,-37.8852,145.024,2379.0
3,1710000.0,10.7,4.0,3.0,2.0,435.0,228.0,1915.0,-37.91,145.0113,6938.0
3,683000.0,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,-37.8284,144.8355,5132.0
4,2650000.0,11.0,4.0,3.0,2.0,753.0,399.0,2015.0,-37.8669,145.0767,3052.0
2,1532000.0,11.2,2.0,1.0,2.0,411.0,165.0,1910.0,-37.9095,145.004,10579.0
5,3320000.0,7.8,5.0,4.0,2.0,741.0,407.0,2009.0,-37.8422,145.064,8920.0
3,1265000.0,9.2,3.0,2.0,1.0,347.0,160.0,2011.0,-37.7947,145.1035,7809.0
5,1525000.0,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,-37.8721,144.8105,5301.0
3,841000.0,7.8,3.0,1.0,3.0,385.0,98.0,1920.0,-37.734,144.9603,11204.0
3,700000.0,13.9,3.0,2.0,2.0,194.0,200.0,2008.0,-37.9272,145.0801,10969.0
2,690000.0,12.2,2.0,1.0,1.0,216.0,90.0,2003.0,-37.8711,145.1017,2894.0
5,1350000.0,5.9,5.0,2.0,2.0,510.0,321.0,1997.0,-37.7581,144.9414,7082.0
4,1320000.0,5.2,4.0,2.0,1.0,281.0,156.0,1920.0,-37.7722,144.9681,11918.0
2,725000.0,13.0,2.0,1.0,1.0,227.0,100.0,1990.0,-37.9326,145.0387,6795.0
4,2015000.0,7.8,4.0,1.0,4.0,772.0,145.0,1920.0,-37.8441,145.0806,8920.0
4,1260000.0,13.6,4.0,2.0,2.0,500.0,277.0,2001.0,-37.8845,145.1027,3582.0
3,1715000.0,13.1,3.0,2.0,2.0,458.0,170.0,1950.0,-37.8257,145.1216,4605.0
2,292000.0,11.1,2.0,1.0,1.0,153.0,70.0,1970.0,-37.8332,144.8649,5132.0
4,1825000.0,9.2,4.0,2.0,3.0,736.0,225.0,1958.0,-37.7944,145.1028,7809.0
2,1000000.0,10.7,2.0,1.0,2.0,564.0,131.0,1948.0,-37.9143,145.0238,6938.0
3,745000.0,11.7,3.0,1.0,2.0,228.0,126.0,1998.0,-37.8521,145.1187,5678.0
2,830000.0,9.0,2.0,1.0,1.0,110.0,83.0,1960.0,-37.8264,145.0824,3265.0
2,1065000.0,9.3,2.0,1.0,1.0,273.0,114.0,1930.0,-37.895,145.02200000000005,5051.0
3,1400000.0,10.7,3.0,1.0,3.0,613.0,182.0,1950.0,-37.9177,145.0143,6938.0
3,1335000.0,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,-37.8697,144.8249,5301.0
3,1222500.0,13.0,3.0,2.0,2.0,299.0,181.0,2000.0,-37.9272,145.0406,6795.0
4,950000.0,10.5,4.0,3.0,3.0,761.0,281.0,1970.0,-37.7524,144.8714,4502.0
5,1875000.0,9.2,5.0,3.0,2.0,842.0,200.0,1961.0,-37.7854,145.0869,7809.0
4,1940000.0,10.7,4.0,2.0,2.0,682.0,240.0,1960.0,-37.9205,145.0122,6938.0
3,1300000.0,5.9,3.0,1.0,2.0,364.0,135.0,1900.0,-37.7618,144.9497,7082.0
4,1572000.0,9.2,4.0,2.0,2.0,662.0,330.0,1965.0,-37.798,145.1007,7809.0
2,857000.0,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,-37.8653,144.8129,5301.0
4,1819000.0,6.6,3.0,2.0,1.0,244.0,180.0,1900.0,-37.8668,144.9928,2952.0
5,2050000.0,10.7,5.0,3.0,3.0,669.0,309.0,1970.0,-37.9289,145.0284,6938.0
4,1530000.0,10.7,2.0,2.0,1.0,603.0,177.0,1920.0,-37.9187,145.0071,6938.0
3,495000.0,10.8,3.0,1.0,1.0,158.0,138.0,2005.0,-37.7889,144.8465,3589.0
3,955000.0,5.2,3.0,2.0,2.0,327.0,110.0,2007.0,-37.7636,144.9559,11918.0
3,1045000.0,5.2,3.0,1.0,2.0,222.0,105.0,1890.0,-37.7642,144.969,11918.0
3,921000.0,13.9,3.0,2.0,2.0,167.0,140.0,2009.0,-37.9219,145.0733,10969.0
4,1570000.0,9.3,3.0,2.0,2.0,641.0,215.0,1970.0,-37.9012,145.035,5051.0
5,2700000.0,7.8,5.0,3.0,2.0,802.0,317.0,1994.0,-37.8442,145.0578,8920.0
3,1875000.0,11.2,3.0,2.0,2.0,275.0,170.0,1991.0,-37.9153,144.9924,10579.0
5,2150000.0,11.7,5.0,4.0,2.0,643.0,380.0,2014.0,-37.8454,145.0974,5678.0
5,3171000.0,11.2,4.0,2.0,2.0,710.0,340.0,2000.0,-37.9241,145.0008,10579.0
2,1310000.0,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,-37.809,144.9976,4019.0
3,1025000.0,13.9,3.0,2.0,2.0,384.0,120.0,1999.0,-37.9229,145.0557,10969.0
4,1950000.0,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,-37.7719,145.0309,2211.0
4,1303000.0,11.8,4.0,2.0,2.0,670.0,197.0,1980.0,-37.7695,145.0869,4480.0
2,825000.0,9.3,2.0,1.0,1.0,367.0,85.0,1930.0,-37.8995,145.0241,5051.0
4,1255000.0,11.7,4.0,2.0,2.0,438.0,210.0,2005.0,-37.8599,145.1101,5678.0
4,2801000.0,6.3,4.0,2.0,2.0,624.0,222.0,1900.0,-37.8536,145.0173,4836.0
4,2375000.0,9.0,4.0,2.0,1.0,653.0,229.0,1910.0,-37.8292,145.0852,3265.0
3,1691500.0,5.2,3.0,2.0,3.0,470.0,152.0,1920.0,-37.7788,144.9688,11918.0
4,2310000.0,10.7,4.0,2.0,2.0,757.0,130.0,1930.0,-37.9266,145.0088,6938.0
4,1250000.0,13.9,4.0,2.0,2.0,314.0,231.0,2010.0,-37.9299,145.0598,10969.0
4,1461400.0,13.1,3.0,2.0,2.0,780.0,235.0,1927.0,-37.8244,145.1319,4605.0
3,577000.0,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,-37.8684,144.815,5301.0
5,2000000.0,9.2,5.0,2.0,2.0,1002.0,244.0,1950.0,-37.796,145.0984,7809.0
3,3300000.0,7.8,3.0,3.0,2.0,417.0,220.0,2016.0,-37.831,145.0621,8920.0
3,851000.0,11.8,3.0,1.0,2.0,385.0,140.0,2000.0,-37.7599,145.0849,4480.0
3,1415000.0,11.0,3.0,1.0,1.0,605.0,111.0,1950.0,-37.8703,145.0774,3052.0
3,1170000.0,13.1,3.0,1.0,1.0,755.0,95.0,1920.0,-37.8264,145.1248,4605.0
2,707000.0,11.4,2.0,1.0,1.0,144.0,96.0,2000.0,-37.892,145.0482,7822.0
3,746000.0,11.7,3.0,1.0,2.0,308.0,92.0,1995.0,-37.8505,145.1065,5678.0
3,1200000.0,13.1,3.0,1.0,2.0,550.0,110.0,1950.0,-37.8275,145.1298,4605.0
4,1185000.0,13.9,4.0,2.0,2.0,305.0,207.0,2012.0,-37.9245,145.0507,10969.0
4,1890000.0,11.7,4.0,2.0,2.0,1145.0,111.0,1960.0,-37.8538,145.127,5678.0
3,705000.0,5.2,2.0,1.0,1.0,55.0,111.0,2012.0,-37.7611,144.9622,11918.0
4,1435000.0,13.0,3.0,3.0,2.0,291.0,212.0,2012.0,-37.9278,145.0337,6795.0
2,537000.0,5.9,2.0,1.0,1.0,501.0,66.0,1960.0,-37.7741,144.9449,7082.0
1,625000.0,5.2,1.0,1.0,1.0,82.0,114.0,1930.0,-37.7661,144.9614,11918.0
5,2350000.0,9.0,5.0,2.0,4.0,838.0,282.0,1910.0,-37.8252,145.0721,3265.0
2,850000.0,7.8,2.0,1.0,1.0,371.0,93.0,1930.0,-37.735,144.9589,11204.0
3,1352000.0,13.9,3.0,1.0,2.0,686.0,122.0,1950.0,-37.9113,145.0765,10969.0
3,860000.0,11.4,3.0,2.0,1.0,1113.0,113.0,1990.0,-37.8972,145.0642,7822.0
3,600000.0,13.5,2.0,1.0,1.0,290.0,116.0,1980.0,-37.7273,144.8744,3464.0
4,2050000.0,10.7,4.0,2.0,4.0,678.0,233.0,1940.0,-37.9255,145.0118,6938.0
3,805000.0,10.5,3.0,2.0,2.0,593.0,103.0,1970.0,-37.7607,144.8581,4502.0
2,659500.0,5.2,2.0,1.0,1.0,100.0,85.0,1970.0,-37.7601,144.9581,11918.0
3,700000.0,9.7,3.0,1.0,1.0,188.0,110.0,1970.0,-37.8065,145.065,5682.0
3,1301000.0,13.6,3.0,1.0,2.0,620.0,88.0,1970.0,-37.8812,145.105,3582.0
2,645000.0,10.8,2.0,1.0,1.0,566.0,75.0,1950.0,-37.7839,144.8524,3589.0
3,955000.0,5.9,3.0,1.0,1.0,263.0,117.0,1910.0,-37.7753,144.9116,6567.0
3,880000.0,10.7,3.0,2.0,2.0,304.0,34.0,1990.0,-37.9308,145.0316,6938.0
3,702000.0,11.7,3.0,2.0,1.0,170.0,106.0,2001.0,-37.8554,145.1089,5678.0
2,855000.0,13.0,2.0,1.0,1.0,296.0,103.0,1940.0,-37.9243,145.0376,6795.0
2,468250.0,11.4,2.0,1.0,1.0,912.0,75.0,2008.0,-37.8936,145.056,7822.0
2,650000.0,11.7,2.0,1.0,1.0,194.0,120.0,1975.0,-37.8509,145.1119,5678.0
3,660000.0,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,-37.8616,144.8116,5301.0
2,495000.0,13.9,2.0,1.0,1.0,76.0,79.0,1980.0,-37.91,145.0842,10969.0
3,865000.0,13.6,3.0,2.0,2.0,277.0,143.0,2010.0,-37.8796,145.1044,3582.0
3,1200000.0,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,-37.8056,144.993,4019.0
1,671000.0,11.2,1.0,1.0,1.0,70.0,74.0,1980.0,-37.9194,145.0003,10579.0
4,1450000.0,11.4,4.0,2.0,2.0,557.0,200.0,1938.0,-37.8955,145.0515,7822.0
4,1250000.0,11.0,4.0,2.0,2.0,321.0,199.0,2007.0,-37.8693,145.08,3052.0
3,1205000.0,6.3,3.0,2.0,2.0,101.0,105.0,2000.0,-37.854,145.0135,4836.0
3,835000.0,13.9,3.0,1.0,1.0,250.0,105.0,1980.0,-37.9087,145.0537,10969.0
4,1005000.0,13.9,4.0,2.0,2.0,296.0,205.0,2006.0,-37.9197,145.05700000000004,10969.0
3,880000.0,5.2,3.0,1.0,1.0,264.0,117.0,1915.0,-37.7603,144.9573,11918.0
2,685000.0,5.9,2.0,1.0,2.0,228.0,90.0,1995.0,-37.7718,144.9066,6567.0
3,875000.0,10.5,3.0,1.0,3.0,812.0,117.0,1960.0,-37.765,144.8578,4502.0
2,700000.0,12.2,2.0,1.0,2.0,192.0,88.0,2007.0,-37.8709,145.102,2894.0
2,1780000.0,10.7,4.0,3.0,2.0,635.0,119.0,1935.0,-37.9205,145.0102,6938.0
2,855000.0,11.4,2.0,1.0,1.0,158.0,106.0,1994.0,-37.8886,145.05200000000005,7822.0
2,540000.0,6.6,2.0,1.0,1.0,483.0,51.0,1970.0,-37.8727,144.9969,2952.0
3,1680000.0,9.0,3.0,2.0,1.0,325.0,197.0,1910.0,-37.826,145.0729,3265.0
3,1120000.0,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,-37.8693,144.8375,5301.0
3,1165000.0,13.0,3.0,1.0,2.0,694.0,125.0,1950.0,-37.9315,145.0445,6795.0
3,857000.0,13.1,4.0,1.0,1.0,492.0,119.0,1930.0,-37.8283,145.1195,4605.0
3,2200000.0,9.0,3.0,3.0,2.0,468.0,148.0,1890.0,-37.8264,145.0741,3265.0
4,900000.0,11.7,4.0,3.0,2.0,381.0,176.0,2013.0,-37.8459,145.1041,5678.0
4,3230000.0,9.2,4.0,4.0,3.0,1135.0,275.0,1960.0,-37.8014,145.0892,7809.0
3,1377000.0,5.9,3.0,1.0,1.0,417.0,168.0,1900.0,-37.7756,144.9208,6567.0
3,805000.0,13.9,3.0,2.0,1.0,268.0,117.0,2000.0,-37.9196,145.0691,10969.0
3,830000.0,13.5,3.0,1.0,2.0,971.0,113.0,1960.0,-37.7186,144.876,3464.0
5,1550000.0,13.9,5.0,3.0,2.0,623.0,257.0,1950.0,-37.9066,145.0541,10969.0
2,729000.0,7.8,2.0,1.0,1.0,137.0,87.0,1970.0,-37.8459,145.088,8920.0
4,1030000.0,9.3,4.0,2.0,2.0,216.0,165.0,1995.0,-37.8887,145.0318,5051.0
2,421000.0,11.1,2.0,1.0,1.0,77.0,77.0,2009.0,-37.8351,144.8529,5132.0
3,880000.0,11.8,3.0,2.0,2.0,514.0,190.0,1960.0,-37.7683,145.0959,4480.0
3,975000.0,11.8,3.0,2.0,2.0,632.0,226.0,2013.0,-37.7813,145.102,4480.0
2,670000.0,13.0,2.0,2.0,1.0,123.0,90.0,2007.0,-37.9307,145.0379,6795.0
4,1302000.0,11.8,4.0,2.0,2.0,475.0,245.0,1996.0,-37.765,145.0933,4480.0
4,2188000.0,9.7,4.0,2.0,2.0,752.0,253.0,1981.0,-37.8149,145.0747,5682.0
3,2050000.0,6.3,3.0,2.0,1.0,205.0,116.0,1910.0,-37.8574,145.0281,4836.0
3,1161000.0,13.9,3.0,2.0,3.0,629.0,168.0,1950.0,-37.912,145.0752,10969.0
3,940000.0,5.2,3.0,2.0,1.0,186.0,140.0,2016.0,-37.7581,144.9514,11918.0
3,2251000.0,9.2,3.0,1.0,2.0,888.0,137.0,1950.0,-37.8002,145.0949,7809.0
2,800000.0,3.2,2.0,1.0,1.0,73.0,104.0,2009.0,-37.7852,144.9719,3106.0
3,1870000.0,6.3,3.0,1.0,1.0,217.0,116.0,1888.0,-37.8592,145.0182,4836.0
3,1037500.0,5.9,3.0,1.0,2.0,506.0,110.0,1920.0,-37.7779,144.9133,6567.0
4,1367000.0,10.7,4.0,2.0,2.0,315.0,4.0,2000.0,-37.9078,145.0222,6938.0
2,1002000.0,13.6,2.0,1.0,1.0,585.0,97.0,1950.0,-37.8792,145.0948,3582.0
1,370000.0,5.2,1.0,1.0,1.0,540.0,45.0,1970.0,-37.7766,144.9574,11918.0
4,1410000.0,5.2,4.0,2.0,1.0,460.0,214.0,1916.0,-37.7554,144.9544,11918.0
2,522500.0,10.5,2.0,1.0,1.0,220.0,101.0,1995.0,-37.756,144.8641,4502.0
3,1050000.0,5.2,3.0,1.0,1.0,239.0,126.0,1910.0,-37.7776,144.963,11918.0
3,905000.0,9.7,3.0,1.0,2.0,281.0,150.0,1995.0,-37.8013,145.0652,5682.0
3,880000.0,5.2,3.0,2.0,1.0,122.0,152.0,2000.0,-37.7697,144.9649,11918.0
3,1025000.0,7.8,3.0,1.0,3.0,336.0,112.0,1950.0,-37.7408,144.9558,11204.0
5,2840000.0,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,-37.775,145.0268,2211.0
3,1390000.0,13.9,4.0,2.0,2.0,590.0,118.0,1960.0,-37.9256,145.0757,10969.0
4,2000000.0,11.7,4.0,3.0,2.0,928.0,229.0,1996.0,-37.842,145.102,5678.0
3,502000.0,10.8,3.0,1.0,1.0,220.0,106.0,2011.0,-37.785,144.8561,3589.0
5,1385000.0,13.0,5.0,2.0,2.0,664.0,178.0,1950.0,-37.9241,145.048,6795.0
3,1290000.0,2.5,3.0,1.0,1.0,168.0,124.0,1950.0,-37.8007,144.9958,4019.0
2,1097000.0,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,-37.801,144.9989,4019.0
2,680000.0,13.0,2.0,1.0,1.0,83.0,107.0,1998.0,-37.9259,145.0341,6795.0
2,903000.0,7.8,2.0,1.0,1.0,253.0,94.0,1910.0,-37.7484,144.9521,11204.0
3,1125000.0,13.0,3.0,1.0,2.0,584.0,116.0,1948.0,-37.9199,145.0477,6795.0
3,1020000.0,13.9,3.0,1.0,2.0,596.0,144.0,1960.0,-37.9251,145.0771,10969.0
3,1230000.0,5.9,4.0,1.0,2.0,594.0,148.0,1960.0,-37.7819,144.9064,6567.0
3,1800000.0,6.3,3.0,2.0,2.0,405.0,121.0,1910.0,-37.8545,145.0145,4836.0
3,1818000.0,9.2,3.0,1.0,1.0,722.0,90.0,1930.0,-37.7956,145.0829,7809.0
