Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Camberwell,6 Wilson Gr,3,h,1602500.0,S,Lindellas,18/03/2017,7.8,3124.0,3.0,1.0,1.0,405.0,102.0,1930.0,Boroondara,-37.8448,145.071,Southern Metropolitan,8920.0
Canterbury,21 Compton St,4,h,2950000.0,PI,Jellis,10/12/2016,9.0,3126.0,4.0,2.0,3.0,812.0,173.0,1927.0,Boroondara,-37.8323,145.0842,Southern Metropolitan,3265.0
Bentleigh,156 Patterson Rd,3,h,1110000.0,S,Buxton,6/08/2016,13.0,3204.0,3.0,1.0,2.0,692.0,164.0,1940.0,Glen Eira,-37.9263,145.04,Southern Metropolitan,6795.0
Bentleigh East,1/57 Brooks St,3,h,780000.0,PI,Buxton,17/09/2016,13.9,3165.0,3.0,2.0,2.0,421.0,126.0,1950.0,Glen Eira,-37.9168,145.0809,Southern Metropolitan,10969.0
Ascot Vale,58 Fenton St,4,h,1340000.0,S,Nelson,14/05/2016,5.9,3032.0,3.0,2.0,2.0,683.0,232.0,1978.0,Moonee Valley,-37.775,144.93200000000004,Western Metropolitan,6567.0
Ashburton,5 Nicholas St,3,h,1337000.0,S,Buxton,8/10/2016,11.0,3147.0,3.0,1.0,2.0,583.0,112.0,1950.0,Boroondara,-37.8685,145.0786,Southern Metropolitan,3052.0
Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,7/11/2016,3.3,3206.0,3.0,2.0,1.0,132.0,159.0,1996.0,Port Phillip,-37.8415,144.952,Southern Metropolitan,3280.0
Box Hill,3/8 Ashted Rd,2,u,636000.0,S,Philip,19/11/2016,13.1,3128.0,2.0,1.0,1.0,151.0,82.0,1970.0,Whitehorse,-37.8234,145.1235,Eastern Metropolitan,4605.0
Balwyn North,16 Nevada St,4,h,1700000.0,VB,Jellis,27/06/2016,9.2,3104.0,3.0,2.0,5.0,754.0,175.0,1960.0,Boroondara,-37.786,145.0886,Southern Metropolitan,7809.0
Brighton East,14 Milroy St,4,h,2504000.0,S,Marshall,3/12/2016,10.7,3187.0,4.0,2.0,2.0,674.0,183.0,1950.0,Bayside,-37.9022,145.0125,Southern Metropolitan,6938.0
Box Hill,33 Pendle St,4,h,1670000.0,S,Noel,17/09/2016,13.1,3128.0,4.0,4.0,4.0,707.0,162.0,1926.0,Whitehorse,-37.8166,145.1354,Eastern Metropolitan,4605.0
Box Hill,6/29 Barkly St,2,u,645000.0,S,McGrath,4/03/2017,13.1,3128.0,2.0,1.0,1.0,140.0,81.0,1965.0,Whitehorse,-37.8271,145.1299,Eastern Metropolitan,4605.0
Brunswick West,1/464 Victoria St,2,t,735000.0,S,Jellis,24/09/2016,5.9,3055.0,2.0,1.0,2.0,120.0,109.0,2004.0,Moreland,-37.7659,144.9487,Northern Metropolitan,7082.0
Camberwell,20 Kirkwood Dr,5,h,2740000.0,S,Fletchers,28/08/2016,7.8,3124.0,4.0,2.0,2.0,643.0,363.0,2005.0,Boroondara,-37.8421,145.0719,Southern Metropolitan,8920.0
Ascot Vale,25 Geddes St,4,h,950000.0,PI,Nelson,24/09/2016,5.9,3032.0,4.0,2.0,1.0,298.0,147.0,1920.0,Moonee Valley,-37.7778,144.9131,Western Metropolitan,6567.0
Carnegie,22 Neville St,4,h,1880000.0,S,Private/Tiernan's,26/07/2016,11.4,3163.0,3.0,2.0,3.0,932.0,270.0,1970.0,Glen Eira,-37.8975,145.0478,Southern Metropolitan,7822.0
Altona,1/136 Queen St,2,u,580000.0,S,Barlow,8/10/2016,13.8,3018.0,2.0,1.0,1.0,225.0,93.0,1988.0,Hobsons Bay,-37.8696,144.827,Western Metropolitan,5301.0
Ashwood,18 Montrose St,2,h,1075000.0,VB,Jellis,4/06/2016,12.2,3147.0,2.0,1.0,2.0,695.0,114.0,1950.0,Monash,-37.8694,145.0944,Southern Metropolitan,2894.0
Brighton,4/23 South Rd,3,u,1266000.0,S,Hodges,13/08/2016,11.2,3186.0,3.0,1.0,2.0,277.0,116.0,1950.0,Bayside,-37.9268,144.991,Southern Metropolitan,10579.0
Bentleigh East,38 Northam Rd,3,h,1338000.0,S,Buxton,7/05/2016,13.9,3165.0,3.0,2.0,2.0,610.0,177.0,1970.0,Glen Eira,-37.9231,145.066,Southern Metropolitan,10969.0
Box Hill,14 Collins St,4,h,1670000.0,S,Marshall,25/02/2017,13.1,3128.0,4.0,2.0,2.0,590.0,231.0,1924.0,Whitehorse,-37.8274,145.1242,Eastern Metropolitan,4605.0
Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,4/06/2016,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0
Carnegie,68 Miller St,2,h,967500.0,S,hockingstuart,6/08/2016,11.4,3163.0,3.0,1.0,2.0,299.0,115.0,1930.0,Glen Eira,-37.8973,145.053,Southern Metropolitan,7822.0
Avondale Heights,8 Norma Ct,3,h,850000.0,S,Moonee,3/09/2016,10.5,3034.0,3.0,1.0,1.0,593.0,118.0,1970.0,Moonee Valley,-37.7677,144.8674,Western Metropolitan,4502.0
Bentleigh East,2A Barrani St,4,t,1325000.0,S,Buxton,25/02/2017,13.9,3165.0,4.0,4.0,2.0,363.0,265.0,2012.0,Glen Eira,-37.9116,145.0686,Southern Metropolitan,10969.0
Caulfield South,5 Alder St,3,h,1460000.0,S,hockingstuart,3/12/2016,9.3,3162.0,3.0,1.0,2.0,451.0,121.0,1960.0,Glen Eira,-37.8874,145.019,Southern Metropolitan,5051.0
Camberwell,18 Russell St,4,h,2600000.0,VB,Jellis,7/05/2016,7.8,3124.0,3.0,2.0,2.0,600.0,232.0,1897.0,Boroondara,-37.8237,145.0638,Southern Metropolitan,8920.0
Bentleigh,4a Rosina St,4,t,1247000.0,S,hockingstuart,15/10/2016,13.0,3204.0,4.0,2.0,3.0,354.0,255.0,2008.0,Glen Eira,-37.9326,145.0441,Southern Metropolitan,6795.0
Bentleigh East,2/40 Francesco St,3,t,970000.0,S,Matthew,18/03/2017,13.9,3165.0,3.0,2.0,2.0,267.0,156.0,2000.0,Glen Eira,-37.9176,145.0566,Southern Metropolitan,10969.0
Bentleigh East,4 Mawby Rd,4,h,1433500.0,S,Hodges,25/02/2017,13.9,3165.0,4.0,1.0,1.0,725.0,186.0,1950.0,Glen Eira,-37.9289,145.0502,Southern Metropolitan,10969.0
Caulfield,4/14 Briggs St,2,u,550000.0,VB,Gary,4/03/2017,8.9,3162.0,2.0,1.0,1.0,806.0,78.0,1960.0,Glen Eira,-37.8852,145.024,Southern Metropolitan,2379.0
Brighton East,38 Agnew St,3,h,1710000.0,S,hockingstuart,17/09/2016,10.7,3187.0,4.0,3.0,2.0,435.0,228.0,1915.0,Bayside,-37.91,145.0113,Southern Metropolitan,6938.0
Altona North,33 Carthy St,3,h,683000.0,S,FN,4/06/2016,11.1,3025.0,3.0,1.0,2.0,534.0,167.0,1967.0,Hobsons Bay,-37.8284,144.8355,Western Metropolitan,5132.0
Ashburton,61 Dent St,4,h,2650000.0,S,Marshall,3/09/2016,11.0,3147.0,4.0,3.0,2.0,753.0,399.0,2015.0,Boroondara,-37.8669,145.0767,Southern Metropolitan,3052.0
Brighton,33a Durrant St,2,h,1532000.0,S,Hodges,22/08/2016,11.2,3186.0,2.0,1.0,2.0,411.0,165.0,1910.0,Bayside,-37.9095,145.004,Southern Metropolitan,10579.0
Camberwell,44 Athelstan Rd,5,h,3320000.0,SP,Weast,28/05/2016,7.8,3124.0,5.0,4.0,2.0,741.0,407.0,2009.0,Boroondara,-37.8422,145.064,Southern Metropolitan,8920.0
Balwyn North,43 Sweyn St,3,h,1265000.0,S,hockingstuart,3/12/2016,9.2,3104.0,3.0,2.0,1.0,347.0,160.0,2011.0,Boroondara,-37.7947,145.1035,Southern Metropolitan,7809.0
Altona,59 Bracken Gr,5,h,1525000.0,S,Greg,3/12/2016,13.8,3018.0,5.0,3.0,3.0,729.0,268.0,2005.0,Hobsons Bay,-37.8721,144.8105,Western Metropolitan,5301.0
Coburg,52 Stawell St,3,h,841000.0,S,Re,19/11/2016,7.8,3058.0,3.0,1.0,3.0,385.0,98.0,1920.0,Moreland,-37.734,144.9603,Northern Metropolitan,11204.0
Bentleigh East,2/8 Rudyard St,3,t,700000.0,PI,hockingstuart,24/09/2016,13.9,3165.0,3.0,2.0,2.0,194.0,200.0,2008.0,Glen Eira,-37.9272,145.0801,Southern Metropolitan,10969.0
Ashwood,1/7 Murra Ct,2,u,690000.0,S,Ray,14/05/2016,12.2,3147.0,2.0,1.0,1.0,216.0,90.0,2003.0,Monash,-37.8711,145.1017,Southern Metropolitan,2894.0
Brunswick West,497 Albion St,5,h,1350000.0,SP,Woodards,7/11/2016,5.9,3055.0,5.0,2.0,2.0,510.0,321.0,1997.0,Moreland,-37.7581,144.9414,Northern Metropolitan,7082.0
Brunswick,113 Glenlyon Rd,4,h,1320000.0,S,Nelson,15/10/2016,5.2,3056.0,4.0,2.0,1.0,281.0,156.0,1920.0,Moreland,-37.7722,144.9681,Northern Metropolitan,11918.0
Bentleigh,2/15 Jasper Rd,2,u,725000.0,S,hockingstuart,13/08/2016,13.0,3204.0,2.0,1.0,1.0,227.0,100.0,1990.0,Glen Eira,-37.9326,145.0387,Southern Metropolitan,6795.0
Camberwell,29 Kalang Rd,4,h,2015000.0,S,Jellis,27/11/2016,7.8,3124.0,4.0,1.0,4.0,772.0,145.0,1920.0,Boroondara,-37.8441,145.0806,Southern Metropolitan,8920.0
Chadstone,4 Jacana Ct,4,h,1260000.0,S,McGrath,25/02/2017,13.6,3148.0,4.0,2.0,2.0,500.0,277.0,2001.0,Monash,-37.8845,145.1027,Southern Metropolitan,3582.0
Box Hill,3 Alexander St,3,h,1715000.0,SP,Marshall,10/12/2016,13.1,3128.0,3.0,2.0,2.0,458.0,170.0,1950.0,Whitehorse,-37.8257,145.1216,Eastern Metropolitan,4605.0
Altona North,4/221 Blackshaws Rd,2,u,292000.0,S,Jas,28/08/2016,11.1,3025.0,2.0,1.0,1.0,153.0,70.0,1970.0,Hobsons Bay,-37.8332,144.8649,Western Metropolitan,5132.0
Balwyn North,6 Stuart Ct,4,h,1825000.0,S,Fletchers,4/03/2017,9.2,3104.0,4.0,2.0,3.0,736.0,225.0,1958.0,Boroondara,-37.7944,145.1028,Southern Metropolitan,7809.0
Brighton East,48 Thomas St,2,h,1000000.0,PI,Biggin,10/09/2016,10.7,3187.0,2.0,1.0,2.0,564.0,131.0,1948.0,Glen Eira,-37.9143,145.0238,Southern Metropolitan,6938.0
Burwood,2/3 Havelock St,3,t,745000.0,S,Noel,17/09/2016,11.7,3125.0,3.0,1.0,2.0,228.0,126.0,1998.0,Whitehorse,-37.8521,145.1187,Southern Metropolitan,5678.0
Canterbury,3/13 Wattle Valley Rd,2,u,830000.0,S,Century,4/06/2016,9.0,3126.0,2.0,1.0,1.0,110.0,83.0,1960.0,Boroondara,-37.8264,145.0824,Southern Metropolitan,3265.0
Caulfield South,15 Dover St,2,h,1065000.0,S,hockingstuart,4/03/2017,9.3,3162.0,2.0,1.0,1.0,273.0,114.0,1930.0,Glen Eira,-37.895,145.02200000000005,Southern Metropolitan,5051.0
Brighton East,11 Billson St,3,h,1400000.0,VB,Marshall,7/05/2016,10.7,3187.0,3.0,1.0,3.0,613.0,182.0,1950.0,Bayside,-37.9177,145.0143,Southern Metropolitan,6938.0
Altona,173 Queen St,3,h,1335000.0,S,hockingstuart,8/10/2016,13.8,3018.0,3.0,1.0,4.0,777.0,22.0,1953.0,Hobsons Bay,-37.8697,144.8249,Western Metropolitan,5301.0
Bentleigh,11A Mortimore St,3,h,1222500.0,S,Ray,4/02/2016,13.0,3204.0,3.0,2.0,2.0,299.0,181.0,2000.0,Glen Eira,-37.9272,145.0406,Southern Metropolitan,6795.0
Avondale Heights,3 Clive Ct,4,h,950000.0,S,Moonee,10/12/2016,10.5,3034.0,4.0,3.0,3.0,761.0,281.0,1970.0,Moonee Valley,-37.7524,144.8714,Western Metropolitan,4502.0
Balwyn North,430 Balwyn Rd,5,h,1875000.0,PI,Fletchers,27/06/2016,9.2,3104.0,5.0,3.0,2.0,842.0,200.0,1961.0,Boroondara,-37.7854,145.0869,Southern Metropolitan,7809.0
Brunswick West,2 Henderson St,7,h,1205000.0,S,Raine,15/10/2016,5.9,3055.0,7.0,3.0,1.0,447.0,287.0,1982.0,Moreland,-37.7634,144.9403,Northern Metropolitan,7082.0
Brighton East,7 Balfour St,4,h,1940000.0,S,hockingstuart,3/09/2016,10.7,3187.0,4.0,2.0,2.0,682.0,240.0,1960.0,Bayside,-37.9205,145.0122,Southern Metropolitan,6938.0
Brunswick West,121 Pearson St,3,h,1300000.0,PI,Jellis,12/11/2016,5.9,3055.0,3.0,1.0,2.0,364.0,135.0,1900.0,Moreland,-37.7618,144.9497,Northern Metropolitan,7082.0
Balwyn North,30 Clifton St,4,h,1572000.0,S,hockingstuart,7/05/2016,9.2,3104.0,4.0,2.0,2.0,662.0,330.0,1965.0,Boroondara,-37.798,145.1007,Southern Metropolitan,7809.0
Ashburton,115 Ashburn Gr,8,h,2950000.0,S,hockingstuart,10/09/2016,11.0,3147.0,9.0,7.0,4.0,1472.0,618.0,2009.0,Boroondara,-37.8729,145.0788,Southern Metropolitan,3052.0
Altona,104 Maidstone St,2,h,857000.0,SP,hockingstuart,27/11/2016,13.8,3018.0,2.0,2.0,1.0,675.0,100.0,1950.0,Hobsons Bay,-37.8653,144.8129,Western Metropolitan,5301.0
Balaclava,18 Linton St,4,h,1819000.0,S,Gary,3/09/2016,6.6,3183.0,3.0,2.0,1.0,244.0,180.0,1900.0,Port Phillip,-37.8668,144.9928,Southern Metropolitan,2952.0
Brighton East,7 Tuxen Ct,5,h,2050000.0,PI,RT,15/10/2016,10.7,3187.0,5.0,3.0,3.0,669.0,309.0,1970.0,Bayside,-37.9289,145.0284,Southern Metropolitan,6938.0
Brighton East,4a Marriage Rd,4,h,1530000.0,S,RT,14/05/2016,10.7,3187.0,2.0,2.0,1.0,603.0,177.0,1920.0,Bayside,-37.9187,145.0071,Southern Metropolitan,6938.0
Braybrook,11/27 Marnoo St,3,h,495000.0,S,Burnham,27/06/2016,10.8,3019.0,3.0,1.0,1.0,158.0,138.0,2005.0,Maribyrnong,-37.7889,144.8465,Western Metropolitan,3589.0
Brunswick,87 Hope St,3,t,955000.0,S,Nelson,11/02/2017,5.2,3056.0,3.0,2.0,2.0,327.0,110.0,2007.0,Moreland,-37.7636,144.9559,Northern Metropolitan,11918.0
Brunswick,84 Stewart St,3,h,1045000.0,S,Jellis,16/04/2016,5.2,3056.0,3.0,1.0,2.0,222.0,105.0,1890.0,Moreland,-37.7642,144.969,Northern Metropolitan,11918.0
Bentleigh East,5b MacKie Rd,3,t,921000.0,S,Buxton,12/11/2016,13.9,3165.0,3.0,2.0,2.0,167.0,140.0,2009.0,Glen Eira,-37.9219,145.0733,Southern Metropolitan,10969.0
Caulfield South,245 Booran Rd,4,h,1570000.0,S,hockingstuart,28/05/2016,9.3,3162.0,3.0,2.0,2.0,641.0,215.0,1970.0,Glen Eira,-37.9012,145.035,Southern Metropolitan,5051.0
Camberwell,18 Middle Rd,5,h,2700000.0,VB,Jellis,17/09/2016,7.8,3124.0,5.0,3.0,2.0,802.0,317.0,1994.0,Boroondara,-37.8442,145.0578,Southern Metropolitan,8920.0
Brighton,7 Chavasse St,3,h,1875000.0,S,Hodges,13/08/2016,11.2,3186.0,3.0,2.0,2.0,275.0,170.0,1991.0,Bayside,-37.9153,144.9924,Southern Metropolitan,10579.0
Burwood,4 Iris St,5,h,2150000.0,S,RW,17/09/2016,11.7,3125.0,5.0,4.0,2.0,643.0,380.0,2014.0,Whitehorse,-37.8454,145.0974,Southern Metropolitan,5678.0
Brighton,15 Hanby St,5,h,3171000.0,S,Biggin,7/05/2016,11.2,3186.0,4.0,2.0,2.0,710.0,340.0,2000.0,Bayside,-37.9241,145.0008,Southern Metropolitan,10579.0
Abbotsford,16 William St,2,h,1310000.0,S,Jellis,15/10/2016,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,Yarra,-37.809,144.9976,Northern Metropolitan,4019.0
Bentleigh East,1/41 Elizabeth St,3,u,1025000.0,S,Woodards,4/03/2017,13.9,3165.0,3.0,2.0,2.0,384.0,120.0,1999.0,Glen Eira,-37.9229,145.0557,Southern Metropolitan,10969.0
Alphington,42 Shiers St,4,h,1950000.0,S,Jellis,30/07/2016,6.4,3078.0,4.0,2.0,3.0,589.0,210.0,1920.0,Darebin,-37.7719,145.0309,Northern Metropolitan,2211.0
Bulleen,4 Albany Pl,4,h,1303000.0,SP,Barry,4/03/2017,11.8,3105.0,4.0,2.0,2.0,670.0,197.0,1980.0,Manningham,-37.7695,145.0869,Eastern Metropolitan,4480.0
Caulfield South,23 Lygon St,2,h,825000.0,S,Gary,16/04/2016,9.3,3162.0,2.0,1.0,1.0,367.0,85.0,1930.0,Glen Eira,-37.8995,145.0241,Southern Metropolitan,5051.0
Burwood,33 Brockhoff Dr,4,h,1255000.0,S,Buxton,12/11/2016,11.7,3125.0,4.0,2.0,2.0,438.0,210.0,2005.0,Monash,-37.8599,145.1101,Southern Metropolitan,5678.0
Armadale,35 Northcote Rd,4,h,2801000.0,S,Marshall,12/11/2016,6.3,3143.0,4.0,2.0,2.0,624.0,222.0,1900.0,Stonnington,-37.8536,145.0173,Southern Metropolitan,4836.0
Canterbury,2 McGregor St,4,h,2375000.0,S,Jellis,7/05/2016,9.0,3126.0,4.0,2.0,1.0,653.0,229.0,1910.0,Boroondara,-37.8292,145.0852,Southern Metropolitan,3265.0
Brunswick,2 Chambers St,3,h,1691500.0,S,Nelson,17/09/2016,5.2,3056.0,3.0,2.0,3.0,470.0,152.0,1920.0,Moreland,-37.7788,144.9688,Northern Metropolitan,11918.0
Brighton East,214 Were St,4,h,2310000.0,S,Buxton,28/05/2016,10.7,3187.0,4.0,2.0,2.0,757.0,130.0,1930.0,Bayside,-37.9266,145.0088,Southern Metropolitan,6938.0
Bentleigh East,48a Celia St,4,t,1250000.0,PI,Buxton,17/09/2016,13.9,3165.0,4.0,2.0,2.0,314.0,231.0,2010.0,Glen Eira,-37.9299,145.0598,Southern Metropolitan,10969.0
Brunswick,7 Garnet St,3,h,1053000.0,S,Ray,27/06/2016,5.2,3056.0,3.0,1.0,1.0,343.0,1041.0,1925.0,Moreland,-37.7589,144.9529,Northern Metropolitan,11918.0
Box Hill,12 Barcelona St,4,h,1461400.0,S,Allens,17/09/2016,13.1,3128.0,3.0,2.0,2.0,780.0,235.0,1927.0,Whitehorse,-37.8244,145.1319,Eastern Metropolitan,4605.0
Altona,3/20 Mulga St,3,u,577000.0,S,Williams,23/04/2016,13.8,3018.0,3.0,2.0,1.0,205.0,113.0,2007.0,Hobsons Bay,-37.8684,144.815,Western Metropolitan,5301.0
Balwyn North,64 Greythorn Rd,5,h,2000000.0,S,Fletchers,15/10/2016,9.2,3104.0,5.0,2.0,2.0,1002.0,244.0,1950.0,Boroondara,-37.796,145.0984,Southern Metropolitan,7809.0
Camberwell,16A Waterloo St,3,h,3300000.0,S,Kay,25/02/2017,7.8,3124.0,3.0,3.0,2.0,417.0,220.0,2016.0,Boroondara,-37.831,145.0621,Southern Metropolitan,8920.0
Bulleen,19a Elizabeth St,3,u,851000.0,S,Jellis,3/09/2016,11.8,3105.0,3.0,1.0,2.0,385.0,140.0,2000.0,Manningham,-37.7599,145.0849,Eastern Metropolitan,4480.0
Ashburton,14 Lucerne St,3,h,1415000.0,S,Buxton,27/06/2016,11.0,3147.0,3.0,1.0,1.0,605.0,111.0,1950.0,Boroondara,-37.8703,145.0774,Southern Metropolitan,3052.0
Box Hill,5 Patricia St,3,h,1170000.0,S,Ray,23/04/2016,13.1,3128.0,3.0,1.0,1.0,755.0,95.0,1920.0,Whitehorse,-37.8264,145.1248,Eastern Metropolitan,4605.0
Carnegie,2/25 El Nido Gr,2,t,707000.0,SA,Ray,13/08/2016,11.4,3163.0,2.0,1.0,1.0,144.0,96.0,2000.0,Glen Eira,-37.892,145.0482,Southern Metropolitan,7822.0
Burwood,8/33 McIntyre St,3,u,746000.0,S,Buxton,17/09/2016,11.7,3125.0,3.0,1.0,2.0,308.0,92.0,1995.0,Whitehorse,-37.8505,145.1065,Southern Metropolitan,5678.0
Box Hill,21 Barkly St,3,h,1200000.0,SP,Marshall,10/12/2016,13.1,3128.0,3.0,1.0,2.0,550.0,110.0,1950.0,Whitehorse,-37.8275,145.1298,Eastern Metropolitan,4605.0
Bentleigh East,1A Brian St,4,t,1185000.0,S,hockingstuart,10/12/2016,13.9,3165.0,4.0,2.0,2.0,305.0,207.0,2012.0,Glen Eira,-37.9245,145.0507,Southern Metropolitan,10969.0
Burwood,35 McCubbin St,4,h,1890000.0,S,Ray,3/12/2016,11.7,3125.0,4.0,2.0,2.0,1145.0,111.0,1960.0,Whitehorse,-37.8538,145.127,Southern Metropolitan,5678.0
Brunswick,11 William St,3,t,705000.0,PI,Nelson,27/06/2016,5.2,3056.0,2.0,1.0,1.0,55.0,111.0,2012.0,Moreland,-37.7611,144.9622,Northern Metropolitan,11918.0
Bentleigh,12b Coates St,4,t,1435000.0,S,hockingstuart,6/08/2016,13.0,3204.0,3.0,3.0,2.0,291.0,212.0,2012.0,Glen Eira,-37.9278,145.0337,Southern Metropolitan,6795.0
Brunswick West,6/86 Heller St,2,u,537000.0,SP,Jellis,22/08/2016,5.9,3055.0,2.0,1.0,1.0,501.0,66.0,1960.0,Moreland,-37.7741,144.9449,Northern Metropolitan,7082.0
Brunswick,3 Ballarat St,1,t,625000.0,PI,Jellis,18/06/2016,5.2,3056.0,1.0,1.0,1.0,82.0,114.0,1930.0,Moreland,-37.7661,144.9614,Northern Metropolitan,11918.0
Canterbury,8 Dudley Pde,5,h,2350000.0,VB,Jellis,15/10/2016,9.0,3126.0,5.0,2.0,4.0,838.0,282.0,1910.0,Boroondara,-37.8252,145.0721,Southern Metropolitan,3265.0
Coburg,29 Molesworth St,2,h,850000.0,SP,Brad,3/09/2016,7.8,3058.0,2.0,1.0,1.0,371.0,93.0,1930.0,Moreland,-37.735,144.9589,Northern Metropolitan,11204.0
Bentleigh East,1 Jassa St,3,h,1352000.0,S,Woodards,19/11/2016,13.9,3165.0,3.0,1.0,2.0,686.0,122.0,1950.0,Glen Eira,-37.9113,145.0765,Southern Metropolitan,10969.0
Carnegie,3/78 Moonya Rd,3,t,860000.0,SP,Gary,4/03/2017,11.4,3163.0,3.0,2.0,1.0,1113.0,113.0,1990.0,Glen Eira,-37.8972,145.0642,Southern Metropolitan,7822.0
Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,4/03/2017,13.5,3042.0,2.0,1.0,1.0,290.0,116.0,1980.0,Moonee Valley,-37.7273,144.8744,Western Metropolitan,3464.0
Brighton East,55 Baird St,4,h,2050000.0,SP,Marshall,15/10/2016,10.7,3187.0,4.0,2.0,4.0,678.0,233.0,1940.0,Bayside,-37.9255,145.0118,Southern Metropolitan,6938.0
Avondale Heights,10 Skewes St,3,h,805000.0,S,Nelson,27/11/2016,10.5,3034.0,3.0,2.0,2.0,593.0,103.0,1970.0,Moonee Valley,-37.7607,144.8581,Western Metropolitan,4502.0
Brunswick,1/263 Albion St,2,u,659500.0,S,Walshe,7/11/2016,5.2,3056.0,2.0,1.0,1.0,100.0,85.0,1970.0,Moreland,-37.7601,144.9581,Northern Metropolitan,11918.0
Balwyn,4/3 King St,3,h,700000.0,VB,Marshall,7/05/2016,9.7,3103.0,3.0,1.0,1.0,188.0,110.0,1970.0,Boroondara,-37.8065,145.065,Southern Metropolitan,5682.0
Chadstone,7 Inga Ct,3,h,1301000.0,S,Buxton,18/03/2017,13.6,3148.0,3.0,1.0,2.0,620.0,88.0,1970.0,Monash,-37.8812,145.105,Southern Metropolitan,3582.0
Braybrook,25 Lily St,2,h,645000.0,S,Barry,3/09/2016,10.8,3019.0,2.0,1.0,1.0,566.0,75.0,1950.0,Maribyrnong,-37.7839,144.8524,Western Metropolitan,3589.0
